event-id,visible,Twilight,Rise,Twilight3,Deleted,Inserted,sensor-type,individual-taxon-canonical-name,ID,individual-local-identifier,study-name
16668348031,TRUE,2016-04-11T08:11:49Z,FALSE,2016-04-11T08:11:49Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,X763,036-79988,Tracking Red-necked stints along the EAAF
16668348042,TRUE,2016-04-11T20:20:19Z,TRUE,2016-04-11T20:20:19Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,X763,036-79988,Tracking Red-necked stints along the EAAF
16668348049,TRUE,2016-04-12T08:09:08Z,FALSE,2016-04-12T08:09:08Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,X763,036-79988,Tracking Red-necked stints along the EAAF
16668348064,TRUE,2016-04-12T20:34:05Z,TRUE,2016-04-12T20:34:05Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,X763,036-79988,Tracking Red-necked stints along the EAAF
16668348067,TRUE,2016-04-13T07:59:58Z,FALSE,2016-04-13T07:59:58Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,X763,036-79988,Tracking Red-necked stints along the EAAF
16668348076,TRUE,2016-04-13T20:27:05Z,TRUE,2016-04-13T20:27:05Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,X763,036-79988,Tracking Red-necked stints along the EAAF
16668348084,TRUE,2016-04-14T07:57:08Z,FALSE,2016-04-14T07:57:08Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,X763,036-79988,Tracking Red-necked stints along the EAAF
16668348094,TRUE,2016-04-14T20:23:50Z,TRUE,2016-04-14T20:23:50Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,X763,036-79988,Tracking Red-necked stints along the EAAF
16668348103,TRUE,2016-04-15T08:04:58Z,FALSE,2016-04-15T08:04:58Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,X763,036-79988,Tracking Red-necked stints along the EAAF
16668348118,TRUE,2016-04-15T20:43:28Z,TRUE,2016-04-15T20:43:28Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,X763,036-79988,Tracking Red-necked stints along the EAAF
