event-id,visible,Twilight,Rise,Twilight3,Deleted,Inserted,sensor-type,individual-taxon-canonical-name,ID,individual-local-identifier,study-name
16668351357,TRUE,2019-03-12T08:21:24Z,FALSE,2019-03-12T08:21:24Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ897,036-76366,Tracking Red-necked stints along the EAAF
16668351368,TRUE,2019-03-12T19:57:34Z,TRUE,2019-03-12T19:57:34Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ897,036-76366,Tracking Red-necked stints along the EAAF
16668351377,TRUE,2019-03-13T09:02:37Z,FALSE,2019-03-13T09:02:37Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ897,036-76366,Tracking Red-necked stints along the EAAF
16668351385,TRUE,2019-03-13T20:13:48Z,TRUE,2019-03-13T20:13:48Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ897,036-76366,Tracking Red-necked stints along the EAAF
16668351387,TRUE,2019-03-14T08:44:23Z,FALSE,2019-03-14T08:44:23Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ897,036-76366,Tracking Red-necked stints along the EAAF
16668351396,TRUE,2019-03-14T19:48:48Z,TRUE,2019-03-14T19:48:48Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ897,036-76366,Tracking Red-necked stints along the EAAF
16668351405,TRUE,2019-03-15T08:40:18Z,FALSE,2019-03-15T08:40:18Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ897,036-76366,Tracking Red-necked stints along the EAAF
16668351416,TRUE,2019-03-15T19:53:48Z,TRUE,2019-03-15T19:53:48Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ897,036-76366,Tracking Red-necked stints along the EAAF
16668351421,TRUE,2019-03-16T08:45:20Z,FALSE,2019-03-16T08:45:20Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ897,036-76366,Tracking Red-necked stints along the EAAF
16668351434,TRUE,2019-03-16T20:20:35Z,TRUE,2019-03-16T20:20:35Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ897,036-76366,Tracking Red-necked stints along the EAAF
16668351435,TRUE,2019-03-17T08:40:19Z,FALSE,2019-03-17T08:40:19Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ897,036-76366,Tracking Red-necked stints along the EAAF
16668351447,TRUE,2019-03-17T19:54:03Z,TRUE,2019-03-17T19:54:03Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ897,036-76366,Tracking Red-necked stints along the EAAF
16668351454,TRUE,2019-03-18T09:00:19Z,FALSE,2019-03-18T09:00:19Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ897,036-76366,Tracking Red-necked stints along the EAAF
