event-id,visible,Twilight,Rise,Twilight3,Deleted,Inserted,sensor-type,individual-taxon-canonical-name,ID,individual-local-identifier,study-name
16668351348,TRUE,2019-03-11T09:10:04Z,FALSE,2019-03-11T09:10:04Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351356,TRUE,2019-03-11T20:00:18Z,TRUE,2019-03-11T20:00:18Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351362,TRUE,2019-03-12T09:06:55Z,FALSE,2019-03-12T09:06:55Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351366,TRUE,2019-03-12T19:54:02Z,TRUE,2019-03-12T19:54:02Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351378,TRUE,2019-03-13T09:08:13Z,FALSE,2019-03-13T09:19:14Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351382,TRUE,2019-03-13T19:58:56Z,TRUE,2019-03-13T19:58:56Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351393,TRUE,2019-03-14T09:09:14Z,FALSE,2019-03-14T09:09:14Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351399,TRUE,2019-03-14T19:59:30Z,TRUE,2019-03-14T19:59:30Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351409,TRUE,2019-03-15T09:06:55Z,FALSE,2019-03-15T09:06:55Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351414,TRUE,2019-03-15T19:53:29Z,TRUE,2019-03-15T18:26:21Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351426,TRUE,2019-03-16T09:04:14Z,FALSE,2019-03-16T09:04:14Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351431,TRUE,2019-03-16T20:00:25Z,TRUE,2019-03-16T20:00:25Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351437,TRUE,2019-03-17T09:01:55Z,FALSE,2019-03-17T09:01:55Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351448,TRUE,2019-03-17T19:57:11Z,TRUE,2019-03-17T19:57:11Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351456,TRUE,2019-03-18T09:06:00Z,FALSE,2019-03-18T09:06:00Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351459,TRUE,2019-03-18T19:47:11Z,TRUE,2019-03-18T19:47:11Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351473,TRUE,2019-03-19T09:02:23Z,FALSE,2019-03-19T09:02:23Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351479,TRUE,2019-03-19T20:04:11Z,TRUE,2019-03-19T20:04:11Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351487,TRUE,2019-03-20T08:55:04Z,FALSE,2019-03-20T08:55:04Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351494,TRUE,2019-03-20T20:04:30Z,TRUE,2019-03-20T20:04:30Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351501,TRUE,2019-03-21T08:57:46Z,FALSE,2019-03-21T08:57:46Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351509,TRUE,2019-03-21T20:00:25Z,TRUE,2019-03-21T20:00:25Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351517,TRUE,2019-03-22T08:55:04Z,FALSE,2019-03-22T08:55:04Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351530,TRUE,2019-03-22T20:12:11Z,TRUE,2019-03-22T20:12:11Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351538,TRUE,2019-03-23T08:52:23Z,FALSE,2019-03-23T08:52:23Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351542,TRUE,2019-03-23T20:00:25Z,TRUE,2019-03-23T20:00:25Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351553,TRUE,2019-03-24T08:45:30Z,FALSE,2019-03-24T08:45:30Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351559,TRUE,2019-03-24T20:25:25Z,TRUE,2019-03-24T20:25:25Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351568,TRUE,2019-03-25T08:41:55Z,FALSE,2019-03-25T08:41:55Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351577,TRUE,2019-03-25T20:17:11Z,TRUE,2019-03-25T20:17:11Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351585,TRUE,2019-03-26T08:46:00Z,FALSE,2019-03-26T08:46:00Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351589,TRUE,2019-03-26T20:14:30Z,TRUE,2019-03-26T20:14:30Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351597,TRUE,2019-03-27T08:46:55Z,FALSE,2019-03-27T08:46:55Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351606,TRUE,2019-03-27T20:10:25Z,TRUE,2019-03-27T20:10:25Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351617,TRUE,2019-03-28T08:49:14Z,FALSE,2019-03-28T08:49:14Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351619,TRUE,2019-03-28T20:09:30Z,TRUE,2019-03-28T20:09:30Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351631,TRUE,2019-03-29T08:32:23Z,FALSE,2019-03-29T08:32:23Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
16668351635,TRUE,2019-03-29T20:15:55Z,TRUE,2019-03-29T20:15:55Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ576,036-96507,Tracking Red-necked stints along the EAAF
