event-id,visible,Twilight,Rise,Twilight3,Deleted,Inserted,sensor-type,individual-taxon-canonical-name,ID,individual-local-identifier,study-name
16668351350,TRUE,2019-03-11T09:12:54Z,FALSE,2019-03-11T09:12:54Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ913,036-99018,Tracking Red-necked stints along the EAAF
16668351352,TRUE,2019-03-11T19:47:49Z,TRUE,2019-03-11T19:47:49Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ913,036-99018,Tracking Red-necked stints along the EAAF
16668351363,TRUE,2019-03-12T09:12:54Z,FALSE,2019-03-12T09:12:54Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ913,036-99018,Tracking Red-necked stints along the EAAF
16668351365,TRUE,2019-03-12T19:45:45Z,TRUE,2019-03-12T19:45:45Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ913,036-99018,Tracking Red-necked stints along the EAAF
16668351374,TRUE,2019-03-13T08:57:54Z,FALSE,2019-03-13T08:57:54Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ913,036-99018,Tracking Red-necked stints along the EAAF
16668351379,TRUE,2019-03-13T19:52:19Z,TRUE,2019-03-13T19:52:19Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ913,036-99018,Tracking Red-necked stints along the EAAF
16668351391,TRUE,2019-03-14T09:06:58Z,FALSE,2019-03-14T09:06:58Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ913,036-99018,Tracking Red-necked stints along the EAAF
16668351397,TRUE,2019-03-14T19:49:05Z,TRUE,2019-03-14T19:49:05Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ913,036-99018,Tracking Red-necked stints along the EAAF
16668351410,TRUE,2019-03-15T09:12:54Z,FALSE,2019-03-15T09:12:54Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ913,036-99018,Tracking Red-necked stints along the EAAF
16668351411,TRUE,2019-03-15T19:44:05Z,TRUE,2019-03-15T19:44:05Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ913,036-99018,Tracking Red-necked stints along the EAAF
16668351425,TRUE,2019-03-16T09:03:49Z,FALSE,2019-03-16T09:03:49Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ913,036-99018,Tracking Red-necked stints along the EAAF
16668351427,TRUE,2019-03-16T19:50:50Z,TRUE,2019-03-16T19:50:50Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ913,036-99018,Tracking Red-necked stints along the EAAF
16668351436,TRUE,2019-03-17T08:58:49Z,FALSE,2019-03-17T08:58:49Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ913,036-99018,Tracking Red-necked stints along the EAAF
16668351444,TRUE,2019-03-17T19:52:49Z,TRUE,2019-03-17T19:52:49Z,FALSE,FALSE,solar-geolocator-twilight,Calidris ruficollis,BQ913,036-99018,Tracking Red-necked stints along the EAAF
