Light,Tmin,Tmax,ID,Window,Date
0.9818573216064324,0.08745247148288972,0.8465608465608466,D153,1,2013-05-22
0.8072927513215282,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.8841075656620522,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.8400727823122196,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.7970284567583876,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.8400727823122196,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.8645570256466222,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.8072927513215282,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.9206128861769003,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.8925847909509592,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.8645570256466222,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.9516392657697579,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.8250548954730255,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.8072927513215282,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.7180321062356059,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.7970284567583876,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.7970284567583876,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.8328529050445128,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.8250548954730255,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.8467943550519685,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.8530819992122561,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.8165780269089832,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.7970284567583876,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.8530819992122561,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.8250548954730255,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.9818573216064324,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.8645570256466222,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.8467943550519685,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.8841075656620522,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.8645570256466222,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.8072927513215282,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.3357566837979184,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.8400727823122196,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.8165780269089832,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.9076032443502856,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.8165780269089832,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.7725457194864491,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.7970284567583876,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.8072927513215282,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.7970284567583876,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.7792668390186053,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.7855540813805378,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.8748218536318623,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.7759642235945469,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.8165780269089832,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.8645570256466222,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.757528958657742,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.7725457194864491,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.8072927513215282,0.06844106463878326,0.7539682539682541,D153,1,2013-05-22
0.8165780269089832,0.19011406844106463,0.2037037037037037,D153,1,2013-05-22
0.7615056412686894,0.19011406844106463,0.2037037037037037,D153,1,2013-05-22
0.7725457194864491,0.19011406844106463,0.2037037037037037,D153,1,2013-05-22
0.7690028969367715,0.19011406844106463,0.2037037037037037,D153,1,2013-05-22
0.8841075656620522,0.19011406844106463,0.2037037037037037,D153,1,2013-05-22
0.8467943550519685,0.19011406844106463,0.2037037037037037,D153,1,2013-05-22
0.8250548954730255,0.19011406844106463,0.2037037037037037,D153,1,2013-05-22
0.9143250465096427,0.19011406844106463,0.2037037037037037,D153,1,2013-05-22
0.8645570256466222,0.19011406844106463,0.2037037037037037,D153,1,2013-05-22
0.7855540813805378,0.19011406844106463,0.2037037037037037,D153,1,2013-05-22
0.7855540813805378,0.19011406844106463,0.2037037037037037,D153,1,2013-05-22
0.8645570256466222,0.19011406844106463,0.2037037037037037,D153,1,2013-05-22
0.7653263586988243,0.19011406844106463,0.2037037037037037,D153,1,2013-05-22
0.8467943550519685,0.19011406844106463,0.2037037037037037,D153,1,2013-05-22
0.7490528180495347,0.19011406844106463,0.2037037037037037,D153,1,2013-05-22
0.8250548954730255,0.19011406844106463,0.2037037037037037,D153,1,2013-05-22
0.7725457194864491,0.19011406844106463,0.2037037037037037,D153,1,2013-05-22
0.7653263586988243,0.19011406844106463,0.2037037037037037,D153,1,2013-05-22
0.7970284567583876,0.19011406844106463,0.2037037037037037,D153,1,2013-05-22
0.7855540813805378,0.19011406844106463,0.2037037037037037,D153,1,2013-05-22
0.9423533375976219,0.19011406844106463,0.2037037037037037,D153,1,2013-05-22
0.729505170417758,0.19011406844106463,0.2037037037037037,D153,1,2013-05-22
