"Twilight","Rise","Deleted","Marker","Inserted"
2019-01-17 10:48:00.559987,FALSE,FALSE,0,FALSE
2019-01-17 22:27:51.030037,TRUE,FALSE,0,FALSE
2019-01-18 11:00:26.469776,FALSE,FALSE,0,FALSE
2019-01-18 22:20:38.632494,TRUE,FALSE,0,FALSE
2019-01-19 11:00:03.692795,FALSE,FALSE,0,FALSE
2019-01-19 22:29:56.533285,TRUE,FALSE,0,FALSE
2019-01-20 10:56:47.367506,FALSE,FALSE,0,FALSE
2019-01-20 22:34:57.533285,TRUE,FALSE,0,FALSE
2019-01-21 11:01:26.684133,FALSE,FALSE,0,FALSE
2019-01-21 22:32:23.307205,TRUE,FALSE,0,FALSE
2019-01-22 10:53:01.559987,FALSE,FALSE,0,FALSE
2019-01-22 22:29:26.440013,TRUE,FALSE,0,FALSE
2019-01-23 11:01:48.367506,FALSE,FALSE,0,FALSE
2019-01-23 22:26:51.080605,TRUE,FALSE,0,FALSE
2019-01-24 11:07:57.888088,FALSE,FALSE,0,FALSE
2019-01-24 22:26:47.288034,TRUE,FALSE,0,FALSE
2019-01-25 11:01:26.684133,FALSE,FALSE,0,FALSE
2019-01-25 22:17:12.768346,TRUE,FALSE,0,FALSE
2019-01-26 11:10:04.692795,FALSE,FALSE,0,FALSE
2019-01-26 22:20:02.944505,TRUE,FALSE,0,FALSE
2019-01-27 11:09:13.925371,FALSE,FALSE,0,FALSE
2019-01-27 22:23:27.807834,TRUE,FALSE,0,FALSE
2019-01-28 11:05:23.332559,FALSE,FALSE,0,FALSE
2019-01-28 22:27:24.307205,TRUE,FALSE,0,FALSE
2019-01-29 11:06:35.108021,FALSE,FALSE,0,FALSE
2019-01-29 22:20:03.944505,TRUE,FALSE,0,FALSE
2019-01-30 11:07:31.466715,FALSE,FALSE,0,FALSE
2019-01-30 22:30:40.632494,TRUE,FALSE,0,FALSE
2019-01-31 11:04:13.925371,FALSE,FALSE,0,FALSE
2019-01-31 22:34:58.533285,TRUE,FALSE,0,FALSE
2019-02-01 11:06:49.367506,FALSE,FALSE,0,FALSE
2019-02-01 22:24:58.533285,TRUE,FALSE,0,FALSE
2019-02-02 11:08:39.615297,FALSE,FALSE,0,FALSE
2019-02-02 22:25:26.949005,TRUE,FALSE,0,FALSE
2019-02-03 11:04:49.313857,FALSE,FALSE,0,FALSE
2019-02-03 22:30:55.891979,TRUE,FALSE,0,FALSE
2019-02-04 10:45:06.692795,FALSE,FALSE,0,FALSE
2019-02-04 22:32:14.768346,TRUE,FALSE,0,FALSE
2019-02-05 10:57:32.466715,FALSE,FALSE,0,FALSE
2019-02-05 22:25:55.891979,TRUE,FALSE,0,FALSE
2019-02-06 11:09:49.313857,FALSE,FALSE,0,FALSE
2019-02-06 22:28:17.074629,TRUE,FALSE,0,FALSE
2019-02-07 11:05:29.469776,FALSE,FALSE,0,FALSE
2019-02-07 22:32:25.307205,TRUE,FALSE,0,FALSE
2019-02-08 11:04:49.313857,FALSE,FALSE,0,FALSE
2019-02-08 22:33:51.384703,TRUE,FALSE,0,FALSE
2019-02-09 11:01:50.367506,FALSE,FALSE,0,FALSE
2019-02-09 22:25:28.949005,TRUE,FALSE,0,FALSE
2019-02-10 11:01:51.367506,FALSE,FALSE,0,FALSE
2019-02-10 22:32:26.307205,TRUE,FALSE,0,FALSE
2019-02-11 11:05:18.231654,FALSE,FALSE,0,FALSE
2019-02-11 22:27:03.530224,TRUE,FALSE,0,FALSE
2019-02-12 10:59:15.925371,FALSE,FALSE,0,FALSE
2019-02-12 22:36:50.288034,TRUE,FALSE,0,FALSE
2019-02-13 11:10:07.692795,FALSE,FALSE,0,FALSE
2019-02-13 22:35:42.632494,TRUE,FALSE,0,FALSE
2019-02-14 11:04:15.925371,FALSE,FALSE,0,FALSE
2019-02-14 22:27:43.686143,TRUE,FALSE,0,FALSE
2019-02-15 11:01:51.367506,FALSE,FALSE,0,FALSE
2019-02-15 22:33:18.074629,TRUE,FALSE,0,FALSE
2019-02-16 10:57:34.466715,FALSE,FALSE,0,FALSE
2019-02-16 22:31:53.022265,TRUE,FALSE,0,FALSE
2019-02-17 10:42:34.466715,FALSE,FALSE,0,FALSE
2019-02-17 22:37:27.120127,TRUE,FALSE,0,FALSE
2019-02-18 11:05:42.977735,FALSE,FALSE,0,FALSE
2019-02-18 22:22:16.768346,TRUE,FALSE,0,FALSE
2019-02-19 11:08:42.615297,FALSE,FALSE,0,FALSE
2019-02-19 22:34:30.440013,TRUE,FALSE,0,FALSE
2019-02-20 11:05:26.332559,FALSE,FALSE,0,FALSE
2019-02-20 22:35:43.632494,TRUE,FALSE,0,FALSE
2019-02-21 11:00:08.692795,FALSE,FALSE,0,FALSE
2019-02-21 23:03:19.074629,TRUE,FALSE,0,FALSE
2019-02-22 11:01:52.367506,FALSE,FALSE,0,FALSE
2019-02-22 22:26:05.315867,TRUE,FALSE,0,FALSE
2019-02-23 11:03:43.615297,FALSE,FALSE,0,FALSE
2019-02-23 22:27:01.634098,TRUE,FALSE,0,FALSE
2019-02-24 10:52:35.466715,FALSE,FALSE,0,FALSE
2019-02-24 22:28:54.384703,TRUE,FALSE,0,FALSE
2019-02-25 10:59:52.313857,FALSE,FALSE,0,FALSE
